gene_name gene zscore effect_size pvalue var_g pred_perf_r2 pred_perf_pval pred_perf_qval n_snps_used n_snps_in_cov n_snps_in_model tissue ENSG CHR START_POS END_POS arm_vector
UTP4 ENSG00000141076 4.54746711356072 0.059352251255365 5.42954011597972e-06 0.164467432214801 0.27596809807132 3.71830551612689e-15 9.45744893882604e-14 30 32 32 Brain_Caudate_basal_ganglia ENSG00000141076 16 69165194 69265033 16q22.1
UTP4 ENSG00000141076 4.54721489786805 0.0859740194176206 5.43604851508037e-06 0.0809175122456452 0.24246723891946 4.47452982114342e-12 1.00383430310039e-10 5 7 7 Brain_Frontal_Cortex_BA9 ENSG00000141076 16 69165194 69265033 16q22.1
VPS4A ENSG00000132612 -5.25308584962344 -0.0962008400029342 1.49571774634749e-07 0.0979812589356963 0.100847042153518 8.87921328412146e-05 0.000941551412746056 17 19 19 Brain_Anterior_cingulate_cortex_BA24 ENSG00000132612 16 69345253 69360842 16q22.1
VPS4A ENSG00000132612 -4.97339482341249 -0.1065046449224 6.57904751084577e-07 0.0697157638607289 0.141108330789661 3.01437692037517e-07 3.3917220189412e-06 8 8 8 Brain_Frontal_Cortex_BA9 ENSG00000132612 16 69345253 69360842 16q22.1
VPS4A ENSG00000132612 -5.09667717661506 -0.0995227948027286 3.45667044088675e-07 0.0838917215865182 0.174535005379629 1.35468842774435e-09 1.83216345519155e-08 8 8 8 Brain_Caudate_basal_ganglia ENSG00000132612 16 69345253 69360842 16q22.1
VPS4A ENSG00000132612 -4.73292075912033 -0.0757868247887691 2.21311904718286e-06 0.125992166301239 0.18155858078398 2.5758837531515e-10 3.88871160109872e-09 20 22 22 Brain_Nucleus_accumbens_basal_ganglia ENSG00000132612 16 69345253 69360842 16q22.1
AC009120.2 ENSG00000259972 -4.90651686094302 -0.105538461143768 9.27080226007239e-07 0.0595056875245056 0.0427550673155855 0.00381909062616494 0.0175816248799772 35 37 37 Brain_Caudate_basal_ganglia ENSG00000259972 16 74339025 74369244 16q23.1
CHMP1A ENSG00000131165 -4.93771117769955 -0.149378468009897 7.90447916316872e-07 0.0357719622649138 0.0975934556148711 2.56654058825102e-05 0.000146309026228339 8 9 9 Brain_Cerebellar_Hemisphere ENSG00000131165 16 89710843 89724129 16q24.3
GAS8 ENSG00000141013 4.60380974944411 0.09645241220933 4.14831449740858e-06 0.0741875904625321 0.0791691070391493 0.000201659638086216 0.00196386886081209 18 20 20 Brain_Hypothalamus ENSG00000141013 16 90086037 90111383 16q24.3
GAS8 ENSG00000141013 4.88203318279572 0.0470386110922009 1.04997581775447e-06 0.391921244012059 0.419943129674946 8.42260215064482e-26 4.83148994952973e-24 30 33 33 Brain_Cortex ENSG00000141013 16 90086037 90111383 16q24.3
LINC02166 ENSG00000260259 -4.91740310088616 -0.161517717857006 8.76998430580546e-07 0.0299082215803188 0.0423771169562745 0.00627504862755462 0.022690750751485 11 11 11 Brain_Cerebellar_Hemisphere ENSG00000260259 16 89749028 89752977 16q24.3
LINC02166 ENSG00000260259 -5.82527887780886 -0.219655123950202 5.70173070397592e-09 0.0249899179048674 0.0261274943153818 0.0215496484875514 0.0833139013443204 9 11 11 Brain_Nucleus_accumbens_basal_ganglia ENSG00000260259 16 89749028 89752977 16q24.3
LINC02166 ENSG00000260259 -5.22631514299833 -0.106167693258924 1.72921532718695e-07 0.0776147449134843 0.118558146493147 4.29843410580778e-07 3.57266920235291e-06 24 29 29 Brain_Cortex ENSG00000260259 16 89749028 89752977 16q24.3
LINC02166 ENSG00000260259 -4.95566896124164 -0.349381563453295 7.20818518537046e-07 0.00620257963193302 0.0556204319667181 0.0016782629215544 0.00942471737046212 2 3 3 Brain_Frontal_Cortex_BA9 ENSG00000260259 16 89749028 89752977 16q24.3
SPATA33 ENSG00000167523 5.32402881608436 0.42566520441343 1.01493817813373e-07 0.00457370001113387 0.0469902973455578 0.00516343252766469 0.0331900713992061 4 6 6 Brain_Hippocampus ENSG00000167523 16 89724210 89737680 16q24.3
SPIRE2 ENSG00000204991 4.63690332442471 0.147800286865388 3.5366772394439e-06 0.0350123629151542 0.0659505685844484 0.00369859833487476 0.0277994000115857 10 12 12 Brain_Spinal_cord_cervical_c-1 ENSG00000204991 16 89884587 89937727 16q24.3
SPIRE2 ENSG00000204991 5.32550268679805 0.15323762182479 1.00674228084054e-07 0.0388009963437818 0.0658682066343944 0.00022694392661148 0.00141680944523488 18 20 20 Brain_Nucleus_accumbens_basal_ganglia ENSG00000204991 16 89884587 89937727 16q24.3
VPS9D1 ENSG00000075399 4.546246867418 0.0936048469561466 5.46109785253637e-06 0.0710208020243102 0.099242439305271 2.17441721906725e-05 0.000179360039664762 14 15 15 Brain_Frontal_Cortex_BA9 ENSG00000075399 16 89773542 89787306 16q24.3
VPS9D1 ENSG00000075399 4.7572808331732 0.163992087683807 1.96218106465385e-06 0.0226680468104975 0.0629468050063478 0.000811235154373718 0.00353651335621217 5 5 5 Brain_Cerebellar_Hemisphere ENSG00000075399 16 89773542 89787306 16q24.3
AC015726.1 ENSG00000270091 4.6424653594128 0.0784284694411598 3.44276372362928e-06 0.109548850503748 0.167623883697904 1.09138005028317e-09 1.24597738747663e-08 14 16 16 Brain_Cortex ENSG00000270091 17 19799903 19800600 17p11.2
AC015726.1 ENSG00000270091 4.80990849492485 0.0998915716624988 1.50999405773122e-06 0.0761282241788321 0.157082640380262 2.84181443084438e-09 2.0952766672938e-08 8 8 8 Brain_Cerebellum ENSG00000270091 17 19799903 19800600 17p11.2
AC015726.1 ENSG00000270091 6.07857609686254 0.193417875692458 1.21254436756044e-09 0.0285025665931116 0.0297914455875558 0.0140346458094065 0.0571511957610198 21 23 23 Brain_Nucleus_accumbens_basal_ganglia ENSG00000270091 17 19799903 19800600 17p11.2
RNF112 ENSG00000128482 -4.76882484878744 -0.183099267837398 1.85303679173474e-06 0.0203723142623036 0.0783952847588325 0.000174913648755096 0.000859088427250536 8 12 12 Brain_Cerebellar_Hemisphere ENSG00000128482 17 19314438 19320589 17p11.2
RNF112 ENSG00000128482 -4.88933317778901 -0.130441338598487 1.01178123936696e-06 0.0419460886703361 0.0390147355100464 0.00414767476261909 0.0134212796272757 14 15 15 Brain_Cerebellum ENSG00000128482 17 19314438 19320589 17p11.2
SMCR5 ENSG00000226746 5.01458019029148 0.141183392652283 5.31493829175208e-07 0.0374482571489977 0.196150701715555 1.88179705321447e-11 1.74242619955999e-10 2 3 3 Brain_Cerebellum ENSG00000226746 17 17680000 17682843 17p11.2
TOM1L2 ENSG00000175662 4.92129727091348 0.181070779131669 8.59724278091039e-07 0.0232248885367807 0.03523665267705 0.0157609163268717 0.0854470346270249 6 8 8 Brain_Hippocampus ENSG00000175662 17 17746825 17875736 17p11.2
ELAC2 ENSG00000006744 -4.5913101820904 -0.0678304780430412 4.40472136471185e-06 0.134442801687407 0.310989730578444 1.0891878065034e-15 3.83217780689491e-14 5 5 5 Brain_Frontal_Cortex_BA9 ENSG00000006744 17 12894929 12921382 17p12
ELAC2 ENSG00000006744 -5.11618342525948 -0.0925242009792709 3.11779878006478e-07 0.0886834772096727 0.172609840155194 7.82750418263775e-10 1.11118718698476e-08 13 13 13 Brain_Nucleus_accumbens_basal_ganglia ENSG00000006744 17 12894929 12921382 17p12
ELAC2 ENSG00000006744 -4.53872633971126 -0.0598354366039314 5.65950267713947e-06 0.168960909694126 0.317575711192503 6.49812327679174e-19 1.217875943778e-17 9 9 9 Brain_Cerebellum ENSG00000006744 17 12894929 12921382 17p12
ELAC2 ENSG00000006744 -5.41458812223326 -0.0705704287924464 6.14299442118298e-08 0.173095414229615 0.317585511049203 1.40664109388113e-18 4.00711394383099e-17 17 17 17 Brain_Cortex ENSG00000006744 17 12894929 12921382 17p12
ELAC2 ENSG00000006744 -5.37331092576936 -0.0903768968147718 7.73038593502742e-08 0.104152201580836 0.290089000935019 1.97046878560353e-12 7.00802979264733e-11 5 5 5 Brain_Anterior_cingulate_cortex_BA24 ENSG00000006744 17 12894929 12921382 17p12
ELAC2 ENSG00000006744 -4.84069916657316 -0.120161202827682 1.29383110910423e-06 0.0471679305921976 0.0784451062830045 0.00130565436820747 0.0140108856157854 4 5 5 Brain_Amygdala ENSG00000006744 17 12894929 12921382 17p12
ELAC2 ENSG00000006744 -4.57736123705984 -0.0538016535253669 4.70877934406403e-06 0.213456035894596 0.251328738404814 9.66321928169011e-14 2.12201739212067e-12 35 38 38 Brain_Caudate_basal_ganglia ENSG00000006744 17 12894929 12921382 17p12
DHRS11 ENSG00000278535 4.6973068924026 0.0589019361123872 2.63614217065546e-06 0.190456282554829 0.36872056159916 4.82225669118135e-22 1.92844341393052e-20 14 17 17 Brain_Cortex ENSG00000278535 17 34948309 34957233 17q12
DHRS11 ENSG00000278535 4.85139515524299 0.106014696900414 1.22596012445376e-06 0.0646241494558232 0.148555788851651 1.385580685376e-07 1.09433457784111e-06 6 8 8 Brain_Cerebellar_Hemisphere ENSG00000278535 17 34948309 34957233 17q12
GGNBP2 ENSG00000278311 -4.79108534073599 -0.189704560269152 1.65881547021836e-06 0.0187031841621443 0.0649317728664175 0.000252454927954858 0.00155979750263994 5 5 5 Brain_Nucleus_accumbens_basal_ganglia ENSG00000278311 17 34900761 34946278 17q12
MYO19 ENSG00000278259 4.5725821340521 0.155839687809914 4.81750285730887e-06 0.0252318014849178 0.0420689298841023 0.0126984320917719 0.0715224070387993 5 5 5 Brain_Anterior_cingulate_cortex_BA24 ENSG00000278259 17 34851477 34899284 17q12
MYO19 ENSG00000278259 5.18008075076387 0.256008209867226 2.2178986863494e-07 0.0118806220535082 0.0688884714371428 0.000449896131500261 0.00204916482453794 4 4 4 Brain_Cerebellar_Hemisphere ENSG00000278259 17 34851477 34899284 17q12
AC008105.3 ENSG00000267121 -5.96716995829001 -0.153511576818717 2.41403922308802e-09 0.052879818402617 0.12919276563974 9.05123873930158e-08 5.72617698543338e-07 18 19 19 Brain_Cerebellum ENSG00000267121 17 43268298 43299589 17q21.31
AC008105.3 ENSG00000267121 -5.5974270162615 -0.480328511081249 2.1755638956467e-08 0.00464352603883492 0.082367486033481 0.000117763033234289 0.000599972881151426 8 10 10 Brain_Cerebellar_Hemisphere ENSG00000267121 17 43268298 43299589 17q21.31
AC091132.2 ENSG00000236234 -5.74937225640919 -0.210359917399063 8.9575401392162e-09 0.0272678620240722 0.0787254880178338 0.000169258779120431 0.000833879710283328 7 10 10 Brain_Cerebellar_Hemisphere ENSG00000264038 17 43494179 43494272 17q21.31
AC091132.2 ENSG00000236234 -5.74937225640919 -0.210359917399063 8.9575401392162e-09 0.0272678620240722 0.0787254880178338 0.000169258779120431 0.000833879710283328 7 10 10 Brain_Cerebellar_Hemisphere ENSG00000236234 17 43530210 43541431 17q21.31
AC091132.2 ENSG00000236234 -5.98191875264177 -0.17098531616412 2.20524271379287e-09 0.0472445159301111 0.15744300577766 2.71583989211391e-09 2.00945347815873e-08 9 11 11 Brain_Cerebellum ENSG00000264038 17 43494179 43494272 17q21.31
AC091132.2 ENSG00000236234 -5.98191875264177 -0.17098531616412 2.20524271379287e-09 0.0472445159301111 0.15744300577766 2.71583989211391e-09 2.00945347815873e-08 9 11 11 Brain_Cerebellum ENSG00000236234 17 43530210 43541431 17q21.31
AC091132.4 ENSG00000267198 -4.87995767428318 -0.293598025865384 1.06108610330261e-06 0.00990364621988065 0.150756481671883 6.28228149060531e-09 4.44011349391569e-08 9 14 14 Brain_Cerebellum ENSG00000267198 17 43623170 43640596 17q21.31
ARHGAP27 ENSG00000159314 6.41129463412668 0.10769674723081 1.44289031474196e-10 0.127733726572432 0.28522798828898 2.72149931942398e-16 7.87092185765451e-15 17 21 21 Brain_Nucleus_accumbens_basal_ganglia ENSG00000159314 17 43471268 43511787 17q21.31
ARHGAP27 ENSG00000159314 5.6839391841343 0.130073461079236 1.3162710081702e-08 0.0659012399903662 0.116633921599366 1.09712182632706e-06 9.83255752086941e-06 14 17 17 Brain_Caudate_basal_ganglia ENSG00000159314 17 43471268 43511787 17q21.31
ARHGAP27 ENSG00000159314 4.58637661824781 0.131008175776132 4.51004725779181e-06 0.0409998275738387 0.111434809894564 1.00137835407729e-06 7.88510069160225e-06 11 13 13 Brain_Cortex ENSG00000159314 17 43471268 43511787 17q21.31
ARL17A ENSG00000185829 5.64178455530556 0.0737765030792841 1.68296609934575e-08 0.213666695990455 0.398648207279441 2.70006812220186e-20 2.59377584770794e-18 26 29 29 Brain_Hypothalamus ENSG00000185829 17 44594068 44657048 17q21.31
ARL17A ENSG00000185829 5.2490407307545 0.214530639519138 1.52893271089827e-07 0.0220194512796483 0.26841826610249 1.80902292939478e-11 5.77854407647261e-10 10 14 14 Brain_Anterior_cingulate_cortex_BA24 ENSG00000185829 17 44594068 44657048 17q21.31
ARL17A ENSG00000185829 5.02557627161014 0.0712172124671735 5.01923029643086e-07 0.174714033476829 0.336597338365597 7.62911609471144e-19 2.92086560953972e-17 22 24 24 Brain_Caudate_basal_ganglia ENSG00000185829 17 44594068 44657048 17q21.31
ARL17A ENSG00000185829 4.55872241960788 0.0821085826174855 5.14657403409644e-06 0.109513386097528 0.479123445470563 1.42476412032955e-30 1.39129873052646e-28 19 28 28 Brain_Cortex ENSG00000185829 17 44594068 44657048 17q21.31
ARL17A ENSG00000185829 5.15266035035114 0.0721827890458926 2.56816856828964e-07 0.185510697963925 0.508939374748489 1.62099190194046e-28 3.1906014190647e-26 26 31 31 Brain_Frontal_Cortex_BA9 ENSG00000185829 17 44594068 44657048 17q21.31
ARL17A ENSG00000185829 4.98080707830419 0.0609797297402134 6.33196397643377e-07 0.237880783680388 0.593807287160374 1.11973225852068e-35 4.15020763533129e-33 39 43 43 Brain_Cerebellar_Hemisphere ENSG00000185829 17 44594068 44657048 17q21.31
ARL17A ENSG00000185829 5.49188883009465 0.10582997050328 3.97657687001842e-08 0.101625718709858 0.373624059735247 4.41202790629948e-22 2.46355872880013e-20 17 25 25 Brain_Nucleus_accumbens_basal_ganglia ENSG00000185829 17 44594068 44657048 17q21.31
ARL17A ENSG00000185829 5.27271164181026 0.14578631777428 1.34422681690037e-07 0.0465666315136225 0.141043842696242 1.15644905599719e-05 0.000219117224733636 8 10 10 Brain_Amygdala ENSG00000185829 17 44594068 44657048 17q21.31
ARL17A ENSG00000185829 4.85143010140767 0.0791390073264358 1.22574409263916e-06 0.122558013571252 0.233365178637044 2.52367291307492e-11 5.66446053959015e-10 25 31 31 Brain_Putamen_basal_ganglia ENSG00000185829 17 44594068 44657048 17q21.31
ARL17A ENSG00000185829 4.89287632768397 0.0508624865821422 9.93728553467353e-07 0.331436012243366 0.543187164344109 4.54086950335929e-37 5.50967582341127e-35 35 38 38 Brain_Cerebellum ENSG00000185829 17 44594068 44657048 17q21.31
CRHR1 ENSG00000120088 -4.65670291797058 -0.0784179483890239 3.21313575853449e-06 0.106707656283232 0.0600160685421035 0.00128274002043534 0.00766136372687538 34 39 39 Brain_Putamen_basal_ganglia ENSG00000120088 17 43861646 43913194 17q21.31
CRHR1 ENSG00000120088 4.62843446597111 0.10214517475463 3.6844041735686e-06 0.0628922226654055 0.0453572682468083 0.00217010773302142 0.00948998372313782 29 31 31 Brain_Cortex ENSG00000120088 17 43861646 43913194 17q21.31
CRHR1 ENSG00000120088 -5.18881857621272 -0.368646742023966 2.11632456212819e-07 0.00685381996583457 0.0285581108539385 0.0300172469286205 0.146386926042744 7 8 8 Brain_Hippocampus ENSG00000120088 17 43861646 43913194 17q21.31
ENSR00000094945 ENSR00000094945 -6.00589931117649 -0.183004467265806 1.90274252285495e-09 0.0390450890598621 0.484436312949628 1.15704692718707e-17 3.32650991566283e-16 30 48 48 Brain_Cau ENSR00000094945 17 43571860 43572604 17q21.31
ENSR00000094945 ENSR00000094945 -4.88014448721986 -0.0104468846909091 1.06008147014085e-06 8.17022714954387 0.37213614035403 1.40566899012041e-13 3.23303867727694e-12 19 35 35 Brain_Cerebellum ENSR00000094945 17 43571860 43572604 17q21.31
ENSR00000094945 ENSR00000094945 -5.51569475436015 -0.128356828320253 3.47404785692178e-08 0.0628674230199872 0.36357182878086 2.0143238574886e-10 5.93106469149421e-09 42 62 62 Brain_Put ENSR00000094945 17 43571860 43572604 17q21.31
ENSR00000094945 ENSR00000094945 -5.24494423062191 -0.00960119552700234 1.56329606765195e-07 11.0744513009776 0.457191300499847 6.28386087891203e-15 2.15183918877866e-13 15 38 38 Brain_Cer ENSR00000094945 17 43571860 43572604 17q21.31
ENSR00000094945 ENSR00000094945 -6.09517678385638 -0.253009340953492 1.09316575353296e-09 0.0214082945582772 0.17766420064105 5.00882299828973e-06 1.79394015186973e-05 9 16 16 Brain_Cortex ENSR00000094945 17 43571860 43572604 17q21.31
ENSR00000094945 ENSR00000094945 -5.99820850996701 -0.203193182497276 1.99506246677413e-09 0.0325442446971917 0.353450171725436 4.81252681284466e-12 1.49188331198184e-10 6 20 20 Brain_Nuc ENSR00000094945 17 43571860 43572604 17q21.31
ENSR00000094945 ENSR00000094945 -5.29623087428464 -0.121197032013663 1.18217355805351e-07 0.0682921145912839 0.279250041423656 3.71036699758076e-08 2.96178418227938e-07 13 22 22 Brain_Hypo ENSR00000094945 17 43571860 43572604 17q21.31
ENSR00000094946 ENSR00000094946 -5.70682033614817 -0.108746793178745 1.15106168793947e-08 0.0992006159141761 0.309123971205487 1.96751789180357e-10 3.14802862688571e-09 16 36 36 Brain_Nuc ENSR00000094946 17 43576594 43576987 17q21.31
ENSR00000094946 ENSR00000094946 -6.36654752324881 -0.255952036111441 1.9333041803913e-10 0.0227725909214135 0.280760803300002 5.58960360255543e-08 7.05354740322471e-07 19 31 31 Brain_Put ENSR00000094946 17 43576594 43576987 17q21.31
ENSR00000094946 ENSR00000094946 -4.52368945505176 -0.00616206927446874 6.0770871543801e-06 20.0403423265595 0.413802073183629 2.3243886383371e-15 8.91015644695888e-14 15 27 27 Brain_Cerebellum ENSR00000094946 17 43576594 43576987 17q21.31
ENSR00000094946 ENSR00000094946 -5.51656000277711 -0.00916184937963495 3.45699494365994e-08 13.3365634682218 0.474703880559094 1.19745685067028e-15 4.67008171761409e-14 46 72 72 Brain_Cer ENSR00000094946 17 43576594 43576987 17q21.31
ENSR00000094946 ENSR00000094946 -5.16743192656361 -0.0895917958940052 2.37332364041098e-07 0.11858583940549 0.359189322018006 2.33093222130135e-12 2.77300557361712e-11 30 40 40 Brain_Cau ENSR00000094946 17 43576594 43576987 17q21.31
ENSR00000094946 ENSR00000094946 -4.88456026910056 -0.135261240757633 1.03659932614668e-06 0.045966664175012 0.217077533242841 2.52137954057571e-06 1.538783101969e-05 29 43 43 Brain_Hippo ENSR00000094946 17 43576594 43576987 17q21.31
ENSR00000094946 ENSR00000094946 -5.73257023472894 -0.134751081745849 9.89200513834443e-09 0.0636576851601444 0.234220323794202 9.74521792266861e-08 5.18035268520805e-07 5 7 7 Brain_Cortex ENSR00000094946 17 43576594 43576987 17q21.31
ENSR00000094946 ENSR00000094946 -5.69273112072035 -0.169145068620792 1.2502319086331e-08 0.040531518814379 0.319116406232567 2.83038925619371e-10 2.3217395927618e-09 19 28 28 Brain_Fro ENSR00000094946 17 43576594 43576987 17q21.31
ENSR00000094947 ENSR00000094947 -5.04740043100964 -0.10882680162132 4.47862040514295e-07 0.0755275414965002 0.357818198023519 1.27847765511587e-11 1.47677214856241e-10 34 61 61 Brain_Fro ENSR00000094947 17 43577167 43579166 17q21.31
ENSR00000094947 ENSR00000094947 -5.50475753597673 -0.207968429595851 3.69676691671177e-08 0.0254726981516476 0.264595168200148 1.5622244406128e-07 1.72495615317663e-06 23 35 35 Brain_Put ENSR00000094947 17 43577167 43579166 17q21.31
ENSR00000094947 ENSR00000094947 -5.17303248976297 -0.00951707106347329 2.30324944971552e-07 10.8792526092742 0.429691717283746 7.66086957981383e-14 1.62967589243312e-12 44 65 65 Brain_Cer ENSR00000094947 17 43577167 43579166 17q21.31
ENSR00000094947 ENSR00000094947 -5.33608256705909 -0.0960430192618394 9.49761658014178e-08 0.108292100427886 0.286056678574214 1.24261718595871e-09 1.6673107280732e-08 37 52 52 Brain_Nuc ENSR00000094947 17 43577167 43579166 17q21.31
ENSR00000094947 ENSR00000094947 -5.22499456901104 -0.107775949697094 1.74160221345273e-07 0.0824373470637705 0.326126518091235 8.92485989368493e-11 9.01410849262178e-10 9 14 14 Brain_Cortex ENSR00000094947 17 43577167 43579166 17q21.31
ENSR00000094947 ENSR00000094947 -4.79524102479778 -0.234588838707131 1.62479353671524e-06 0.0144068656981096 0.240379753380745 3.91469099174265e-05 0.000166319828939705 35 52 52 Brain_Spi ENSR00000094947 17 43577167 43579166 17q21.31
ENSR00000094947 ENSR00000094947 -4.6573335752503 -0.0821469543319237 3.20331186659976e-06 0.112716513610695 0.355754648230654 3.1504039698273e-12 3.56357170357514e-11 26 40 40 Brain_Cau ENSR00000094947 17 43577167 43579166 17q21.31
ENSR00000094948 ENSR00000094948 -5.44118681880273 -0.191280687610481 5.29267738697427e-08 0.026519535735343 0.396303836781431 1.36929301321428e-12 2.18464476199187e-11 8 27 27 Brain_Cer ENSR00000094948 17 43651402 43652191 17q21.31
ENSR00000094992 ENSR00000094992 -5.68245120846062 -0.669144890561045 1.32777800243049e-08 0.00260619092800166 0.118628506230552 0.000631289890870225 0.00139435388517453 11 23 23 Brain_Hypo ENSR00000094992 17 44081168 44081911 17q21.31
ENSR00000094992 ENSR00000094992 -5.69928322662887 -0.302884734275034 1.20312200314725e-08 0.0126133748982601 0.0823923250168666 0.00205271957004712 0.00370779189354061 9 14 14 Brain_Cau ENSR00000094992 17 44081168 44081911 17q21.31
ENSR00000094992 ENSR00000094992 -5.60297999757469 -0.804826368900813 2.10697547683198e-08 0.00176529950694409 0.0722142589887927 0.00417099460438754 0.00736232499564491 8 19 19 Brain_Nuc ENSR00000094992 17 44081168 44081911 17q21.31
ENSR00000094992 ENSR00000094992 -5.49707786746928 -0.0882369376084641 3.86136224342025e-08 0.136884849332634 0.117676710197979 0.000416230609527139 0.000945611287663597 7 12 12 Brain_Cer ENSR00000094992 17 44081168 44081911 17q21.31
ENSR00000095056 ENSR00000095056 5.36218983393224 0.357897811672004 8.22190666404722e-08 0.00933888702847305 0.166413463108211 0.000375175903451489 0.00110783073377657 11 27 27 Brain_Amy ENSR00000095056 17 44420664 44421105 17q21.31
ENSR00000095056 ENSR00000095056 4.71292564566276 0.100463592497664 2.44185315510174e-06 0.0647876562074811 0.123165645786331 0.000603700920532421 0.00179753644877631 51 63 63 Brain_Put ENSR00000095056 17 44420664 44421105 17q21.31
ENSR00000095056 ENSR00000095056 5.97722576556969 0.168983137834165 2.26969553223886e-09 0.0363511202318984 0.338653576940612 9.80658707020201e-09 9.64314395236531e-08 16 29 29 Brain_Ant ENSR00000095056 17 44420664 44421105 17q21.31
ENSR00000095056 ENSR00000095056 4.83098037499266 0.0521686828245226 1.35862397136489e-06 0.293840066482337 0.199944533777805 3.05673253157438e-07 1.87202258590502e-06 50 92 92 Brain_Cerebellum ENSR00000095056 17 44420664 44421105 17q21.31
ENSR00000095056 ENSR00000095056 6.50060669010814 0.200705275967417 7.99967308244317e-11 0.0305845555451622 0.29688246759632 1.13973027092429e-08 1.06409127565775e-07 8 19 19 Brain_Hypo ENSR00000095056 17 44420664 44421105 17q21.31
ENSR00000095056 ENSR00000095056 5.28871379098065 0.242597023111693 1.23179457137636e-07 0.0145839312664094 0.0663821534781476 0.00683601717514626 0.00987760151145865 20 32 32 Brain_Cortex ENSR00000095056 17 44420664 44421105 17q21.31
ENSR00000095056 ENSR00000095056 5.27367987562487 0.0904477362077524 1.33715068855905e-07 0.103873386084608 0.390051137142459 8.43113817604229e-13 1.25579584411577e-11 89 114 114 Brain_Fro ENSR00000095056 17 44420664 44421105 17q21.31
ENSR00000095056 ENSR00000095056 6.59155880404697 0.204933474966245 4.3523236891117e-11 0.0297980932172888 0.180771309219111 2.97082696060281e-06 1.60166323093369e-05 25 36 36 Brain_Nuc ENSR00000095056 17 44420664 44421105 17q21.31
ENSR00000095057 ENSR00000095057 6.87412505762897 0.194144302694583 6.23714747400152e-12 0.0362966400549494 0.163135645994026 4.92908687395388e-05 0.000159059186358086 7 17 17 Brain_Hypo ENSR00000095057 17 44422567 44422966 17q21.31
ENSR00000095057 ENSR00000095057 6.65405423204751 0.176276302130945 2.8512753236603e-11 0.0438463854206316 0.233571454535067 4.24377423081692e-06 1.93094325307079e-05 16 26 26 Brain_Ant ENSR00000095057 17 44422567 44422966 17q21.31
ENSR00000095057 ENSR00000095057 6.65892420328784 0.119902199835977 2.75839134746614e-11 0.0878867523005971 0.418251298150866 6.95626945803634e-14 1.57489940529943e-12 26 37 37 Brain_Fro ENSR00000095057 17 44422567 44422966 17q21.31
ENSR00000095057 ENSR00000095057 6.84411380779497 0.156882436861365 7.69507291712835e-12 0.0567418538860143 0.154012360288244 0.000109215477051908 0.00044730241772437 27 35 35 Brain_Put ENSR00000095057 17 44422567 44422966 17q21.31
ENSR00000095057 ENSR00000095057 4.84970587926794 0.140055807321172 1.23644676107357e-06 0.0459137495583393 0.215027239080105 4.08978130099971e-05 0.000177791881557349 28 57 57 Brain_Amy ENSR00000095057 17 44422567 44422966 17q21.31
ENSR00000095057 ENSR00000095057 6.67142012193457 0.51980417070248 2.53339834910234e-11 0.00465250358806562 0.151706382589673 2.18920195803286e-05 9.28071941183161e-05 4 17 17 Brain_Nuc ENSR00000095057 17 44422567 44422966 17q21.31
ENSR00000095057 ENSR00000095057 4.87341140962892 0.110251612329148 1.09687466826984e-06 0.0622124834527412 0.132581695302049 9.93548784421554e-05 0.000258629967078807 39 55 55 Brain_Cortex ENSR00000095057 17 44422567 44422966 17q21.31
ENSR00000095058 ENSR00000095058 6.35492966881772 0.0707512751697296 2.08522004226484e-10 0.230417806215509 0.462556178532803 1.07765067328614e-15 4.84522557464268e-14 15 26 26 Brain_Fro ENSR00000095058 17 44423367 44423566 17q21.31
ENSR00000095058 ENSR00000095058 6.6013306564205 0.119587230279337 4.0748355146399e-11 0.0960622506888649 0.341484549863741 8.22821052687153e-09 8.44285949713774e-08 16 30 30 Brain_Ant ENSR00000095058 17 44423367 44423566 17q21.31
ENSR00000095058 ENSR00000095058 5.41453554438553 0.0733389529085176 6.14479965311444e-08 0.181190711011228 0.238532787314422 7.14306570995928e-08 3.92092193861895e-07 60 86 86 Brain_Cortex ENSR00000095058 17 44423367 44423566 17q21.31
ENSR00000095058 ENSR00000095058 5.29122348457564 0.207500091001195 1.21500785372749e-07 0.0271988595732571 0.246783168146167 9.058708328642e-06 4.57318662397572e-05 9 22 22 Brain_Amy ENSR00000095058 17 44423367 44423566 17q21.31
ENSR00000095058 ENSR00000095058 6.01048872909229 0.0238131014171493 1.84964868914775e-09 2.22977632088862 0.413884001355963 2.3050798315259e-15 8.91015644695888e-14 51 82 82 Brain_Cerebellum ENSR00000095058 17 44423367 44423566 17q21.31
ENSR00000095058 ENSR00000095058 6.76169490087684 0.0902840496486022 1.36386682036783e-11 0.166564014142027 0.186938380309007 1.67782460659181e-05 9.6657287118876e-05 36 44 44 Brain_Put ENSR00000095058 17 44423367 44423566 17q21.31
ENSR00000095058 ENSR00000095058 6.66350994704623 0.277426324293661 2.67363941739841e-11 0.0162930344443614 0.152852867189131 2.0253643028952e-05 8.66017839858637e-05 4 17 17 Brain_Nuc ENSR00000095058 17 44423367 44423566 17q21.31
ENSR00000095058 ENSR00000095058 6.66509836790626 0.0963613796896049 2.64488145633515e-11 0.139157912548713 0.267558622596704 7.99878668471702e-08 5.59915067930191e-07 13 26 26 Brain_Hypo ENSR00000095058 17 44423367 44423566 17q21.31
