gene_name gene zscore effect_size pvalue var_g pred_perf_r2 pred_perf_pval pred_perf_qval n_snps_used n_snps_in_cov n_snps_in_model tissue ENSG CHR START_POS END_POS arm_vector tissuearm
ENSR00000095079 ENSR00000095079 6.73822265659857 0.0632388588394068 1.60335744535785e-11 0.350479200442755 0.462227317530866 1.11286099770945e-15 4.84522557464268e-14 9 19 19 Brain_Frontal_Cortex_BA9 ENSR00000095079 17 44643167 44644566 17q21.31 Brain_Frontal_Cortex_BA9_17q21.31
ENSR00000283527 ENSR00000283527 -5.5286898768179 -0.143749236449275 3.22631102463188e-08 0.0526771807716234 0.351805465120523 2.0924510757777e-11 2.23457982809468e-10 21 30 30 Brain_Frontal_Cortex_BA9 ENSR00000283527 17 43578767 43579166 17q21.31 Brain_Frontal_Cortex_BA9_17q21.31
ARL17A ENSG00000185829 5.15266035035114 0.0721827890458926 2.56816856828964e-07 0.185510697963925 0.508939374748489 1.62099190194046e-28 3.1906014190647e-26 26 31 31 Brain_Frontal_Cortex_BA9 ENSG00000185829 17 44594068 44657048 17q21.31 Brain_Frontal_Cortex_BA9_17q21.31
KANSL1-AS1 ENSG00000214401 4.99261476760887 0.0614101842724573 5.95672954365719e-07 0.237522864412334 0.594356081426314 9.95699248246319e-36 6.92475637180373e-33 27 35 35 Brain_Frontal_Cortex_BA9 ENSG00000214401 17 44270942 44274089 17q21.31 Brain_Frontal_Cortex_BA9_17q21.31
LRRC37A ENSG00000176681 5.41640997085916 0.127681921439683 6.08075864205749e-08 0.0559071304068835 0.580416779393224 1.87244925659939e-34 9.04094229123446e-32 25 30 30 Brain_Frontal_Cortex_BA9 ENSG00000176681 17 44370099 44415160 17q21.31 Brain_Frontal_Cortex_BA9_17q21.31
LRRC37A2 ENSG00000238083 5.46121349530186 0.0745610431987976 4.72890937548782e-08 0.193893838367056 0.688699332991628 1.05252962013062e-45 2.19599779944052e-41 46 56 56 Brain_Frontal_Cortex_BA9 ENSG00000238083 17 44588877 44633016 17q21.31 Brain_Frontal_Cortex_BA9_17q21.31
SPPL2C ENSG00000185294 4.66465786782003 0.488522099387497 3.09130932722132e-06 0.00314665183112438 0.0272780171459062 0.0289450411209614 0.112943582933933 5 11 11 Brain_Frontal_Cortex_BA9 ENSG00000185294 17 43922247 43924433 17q21.31 Brain_Frontal_Cortex_BA9_17q21.31
ENSR00000094992 ENSR00000094992 -5.68245120846062 -0.669144890561045 1.32777800243049e-08 0.00260619092800166 0.118628506230552 0.000631289890870225 0.00139435388517453 11 23 23 Brain_Hypothalamus ENSR00000094992 17 44081168 44081911 17q21.31 Brain_Hypothalamus_17q21.31
ENSR00000095056 ENSR00000095056 6.50060669010814 0.200705275967417 7.99967308244317e-11 0.0305845555451622 0.29688246759632 1.13973027092429e-08 1.06409127565775e-07 8 19 19 Brain_Hypothalamus ENSR00000095056 17 44420664 44421105 17q21.31 Brain_Hypothalamus_17q21.31
ENSR00000095057 ENSR00000095057 6.87412505762897 0.194144302694583 6.23714747400152e-12 0.0362966400549494 0.163135645994026 4.92908687395388e-05 0.000159059186358086 7 17 17 Brain_Hypothalamus ENSR00000095057 17 44422567 44422966 17q21.31 Brain_Hypothalamus_17q21.31
ENSR00000095058 ENSR00000095058 6.66509836790626 0.0963613796896049 2.64488145633515e-11 0.139157912548713 0.267558622596704 7.99878668471702e-08 5.59915067930191e-07 13 26 26 Brain_Hypothalamus ENSR00000095058 17 44423367 44423566 17q21.31 Brain_Hypothalamus_17q21.31
ENSR00000095059 ENSR00000095059 6.90976467551919 0.0547034345797511 4.85458326699557e-12 0.470327086246528 0.299635907978112 9.45552639806417e-09 9.56058780248711e-08 55 74 74 Brain_Hypothalamus ENSR00000095059 17 44425167 44426566 17q21.31 Brain_Hypothalamus_17q21.31
ENSR00000095079 ENSR00000095079 5.94624124938982 0.0481852852280029 2.74369688638257e-09 0.452240297745886 0.271185944514618 6.31018050182394e-08 4.56334131389857e-07 59 80 80 Brain_Hypothalamus ENSR00000095079 17 44643167 44644566 17q21.31 Brain_Hypothalamus_17q21.31
ENSR00000283527 ENSR00000283527 -5.72447822356802 -0.210405912715768 1.03752114286604e-08 0.0270003957175741 0.290479885752924 1.75506479254385e-08 1.52442077117862e-07 118 150 150 Brain_Hypothalamus ENSR00000283527 17 43578767 43579166 17q21.31 Brain_Hypothalamus_17q21.31
ARL17A ENSG00000185829 5.64178455530556 0.0737765030792841 1.68296609934575e-08 0.213666695990455 0.398648207279441 2.70006812220186e-20 2.59377584770794e-18 26 29 29 Brain_Hypothalamus ENSG00000185829 17 44594068 44657048 17q21.31 Brain_Hypothalamus_17q21.31
KANSL1-AS1 ENSG00000214401 4.84538081131757 0.0570420673355199 1.2636905713739e-06 0.265701529464928 0.515256877803776 3.26012987585026e-28 1.15354262107168e-25 18 22 22 Brain_Hypothalamus ENSG00000214401 17 44270942 44274089 17q21.31 Brain_Hypothalamus_17q21.31
LRRC37A2 ENSG00000238083 5.81724470417947 0.0681179669263032 5.98255316548489e-09 0.25136832000013 0.642651309924745 2.20285814220922e-39 1.16916695897754e-35 41 49 49 Brain_Hypothalamus ENSG00000238083 17 44588877 44633016 17q21.31 Brain_Hypothalamus_17q21.31
MAPT-AS1 ENSG00000264589 -5.20612866317476 -0.0814519272503516 1.92820975888317e-07 0.140209303630615 0.218533691312274 1.30208100826546e-10 3.47276128209495e-09 30 37 37 Brain_Hypothalamus ENSG00000264589 17 43876756 43973046 17q21.31 Brain_Hypothalamus_17q21.31
MAPT-IT1 ENSG00000279685 5.39965500975063 0.317183763135598 6.67691707600581e-08 0.00940976878709252 0.02306844525037 0.0480204515332715 0.213591909920669 8 10 10 Brain_Hypothalamus ENSG00000279685 17 43973149 43976164 17q21.31 Brain_Hypothalamus_17q21.31
ENSR00000094946 ENSR00000094946 -5.70682033614817 -0.108746793178745 1.15106168793947e-08 0.0992006159141761 0.309123971205487 1.96751789180357e-10 3.14802862688571e-09 16 36 36 Brain_Nucleus_accumbens_basal_ganglia ENSR00000094946 17 43576594 43576987 17q21.31 Brain_Nucleus_accumbens_basal_ganglia_17q21.31
ENSR00000094947 ENSR00000094947 -5.33608256705909 -0.0960430192618394 9.49761658014178e-08 0.108292100427886 0.286056678574214 1.24261718595871e-09 1.6673107280732e-08 37 52 52 Brain_Nucleus_accumbens_basal_ganglia ENSR00000094947 17 43577167 43579166 17q21.31 Brain_Nucleus_accumbens_basal_ganglia_17q21.31
ENSR00000094992 ENSR00000094992 -5.60297999757469 -0.804826368900813 2.10697547683198e-08 0.00176529950694409 0.0722142589887927 0.00417099460438754 0.00736232499564491 8 19 19 Brain_Nucleus_accumbens_basal_ganglia ENSR00000094992 17 44081168 44081911 17q21.31 Brain_Nucleus_accumbens_basal_ganglia_17q21.31
ENSR00000095056 ENSR00000095056 6.59155880404697 0.204933474966245 4.3523236891117e-11 0.0297980932172888 0.180771309219111 2.97082696060281e-06 1.60166323093369e-05 25 36 36 Brain_Nucleus_accumbens_basal_ganglia ENSR00000095056 17 44420664 44421105 17q21.31 Brain_Nucleus_accumbens_basal_ganglia_17q21.31
ENSR00000095057 ENSR00000095057 6.67142012193457 0.51980417070248 2.53339834910234e-11 0.00465250358806562 0.151706382589673 2.18920195803286e-05 9.28071941183161e-05 4 17 17 Brain_Nucleus_accumbens_basal_ganglia ENSR00000095057 17 44422567 44422966 17q21.31 Brain_Nucleus_accumbens_basal_ganglia_17q21.31
ENSR00000095058 ENSR00000095058 6.66350994704623 0.277426324293661 2.67363941739841e-11 0.0162930344443614 0.152852867189131 2.0253643028952e-05 8.66017839858637e-05 4 17 17 Brain_Nucleus_accumbens_basal_ganglia ENSR00000095058 17 44423367 44423566 17q21.31 Brain_Nucleus_accumbens_basal_ganglia_17q21.31
ENSR00000095079 ENSR00000095079 5.12225662164386 0.0408287137773377 3.01900632213191e-07 0.46065176204941 0.235224917575327 5.98487175866722e-08 5.207888407542e-07 11 29 29 Brain_Nucleus_accumbens_basal_ganglia ENSR00000095079 17 44643167 44644566 17q21.31 Brain_Nucleus_accumbens_basal_ganglia_17q21.31
ENSR00000283527 ENSR00000283527 -5.64866318041506 -0.110030367148138 1.6170031783397e-08 0.0939612374883482 0.324611443766278 5.52456796661601e-11 1.14174404643398e-09 23 39 39 Brain_Nucleus_accumbens_basal_ganglia ENSR00000283527 17 43578767 43579166 17q21.31 Brain_Nucleus_accumbens_basal_ganglia_17q21.31
ARHGAP27 ENSG00000159314 6.41129463412668 0.10769674723081 1.44289031474196e-10 0.127733726572432 0.28522798828898 2.72149931942398e-16 7.87092185765451e-15 17 21 21 Brain_Nucleus_accumbens_basal_ganglia ENSG00000159314 17 43471268 43511787 17q21.31 Brain_Nucleus_accumbens_basal_ganglia_17q21.31
ARL17A ENSG00000185829 5.49188883009465 0.10582997050328 3.97657687001842e-08 0.101625718709858 0.373624059735247 4.41202790629948e-22 2.46355872880013e-20 17 25 25 Brain_Nucleus_accumbens_basal_ganglia ENSG00000185829 17 44594068 44657048 17q21.31 Brain_Nucleus_accumbens_basal_ganglia_17q21.31
KANSL1-AS1 ENSG00000214401 5.07771074115022 0.0531629754028482 3.82009685786533e-07 0.335689503388312 0.5742760571011 6.06107694893448e-39 2.59005898436202e-36 33 41 41 Brain_Nucleus_accumbens_basal_ganglia ENSG00000214401 17 44270942 44274089 17q21.31 Brain_Nucleus_accumbens_basal_ganglia_17q21.31
LRRC37A ENSG00000176681 5.55357509221166 0.101442106121269 2.79885348084494e-08 0.0997041560104149 0.641540564538844 1.95019749528587e-46 3.14116810413775e-43 29 35 35 Brain_Nucleus_accumbens_basal_ganglia ENSG00000176681 17 44370099 44415160 17q21.31 Brain_Nucleus_accumbens_basal_ganglia_17q21.31
LRRC37A2 ENSG00000238083 6.63848845344214 0.0962542745914217 3.16916167291372e-11 0.164926441770009 0.667546097744649 1.02499269450641e-49 3.06604600432426e-46 29 37 37 Brain_Nucleus_accumbens_basal_ganglia ENSG00000238083 17 44588877 44633016 17q21.31 Brain_Nucleus_accumbens_basal_ganglia_17q21.31
MAPT-AS1 ENSG00000264589 -5.88620052883217 -0.0863618914844083 3.9517480429811e-09 0.165168796760807 0.356241832912496 6.97400278364473e-21 3.30381548160038e-19 30 36 36 Brain_Nucleus_accumbens_basal_ganglia ENSG00000264589 17 43876756 43973046 17q21.31 Brain_Nucleus_accumbens_basal_ganglia_17q21.31
ENSR00000094946 ENSR00000094946 -6.36654752324881 -0.255952036111441 1.9333041803913e-10 0.0227725909214135 0.280760803300002 5.58960360255543e-08 7.05354740322471e-07 19 31 31 Brain_Putamen_basal_ganglia ENSR00000094946 17 43576594 43576987 17q21.31 Brain_Putamen_basal_ganglia_17q21.31
ENSR00000094947 ENSR00000094947 -5.50475753597673 -0.207968429595851 3.69676691671177e-08 0.0254726981516476 0.264595168200148 1.5622244406128e-07 1.72495615317663e-06 23 35 35 Brain_Putamen_basal_ganglia ENSR00000094947 17 43577167 43579166 17q21.31 Brain_Putamen_basal_ganglia_17q21.31
ENSR00000095056 ENSR00000095056 4.71292564566276 0.100463592497664 2.44185315510174e-06 0.0647876562074811 0.123165645786331 0.000603700920532421 0.00179753644877631 51 63 63 Brain_Putamen_basal_ganglia ENSR00000095056 17 44420664 44421105 17q21.31 Brain_Putamen_basal_ganglia_17q21.31
ENSR00000095057 ENSR00000095057 6.84411380779497 0.156882436861365 7.69507291712835e-12 0.0567418538860143 0.154012360288244 0.000109215477051908 0.00044730241772437 27 35 35 Brain_Putamen_basal_ganglia ENSR00000095057 17 44422567 44422966 17q21.31 Brain_Putamen_basal_ganglia_17q21.31
ENSR00000095058 ENSR00000095058 6.76169490087684 0.0902840496486022 1.36386682036783e-11 0.166564014142027 0.186938380309007 1.67782460659181e-05 9.6657287118876e-05 36 44 44 Brain_Putamen_basal_ganglia ENSR00000095058 17 44423367 44423566 17q21.31 Brain_Putamen_basal_ganglia_17q21.31
ENSR00000095059 ENSR00000095059 5.50718145797356 0.0366571209126964 3.64624367787736e-08 0.699631617195339 0.0846212982181353 0.00490588930137225 0.0091740082040631 38 46 46 Brain_Putamen_basal_ganglia ENSR00000095059 17 44425167 44426566 17q21.31 Brain_Putamen_basal_ganglia_17q21.31
ENSR00000095079 ENSR00000095079 6.29596958328475 0.0344095821870122 3.05484275417616e-10 1.01274171575258 0.120149461548527 0.000712194328898269 0.00207397249624221 39 47 47 Brain_Putamen_basal_ganglia ENSR00000095079 17 44643167 44644566 17q21.31 Brain_Putamen_basal_ganglia_17q21.31
ENSR00000283527 ENSR00000283527 -4.8824115867232 -0.138985148243785 1.04796230955858e-06 0.0439539674649338 0.323767549802479 3.26175270469394e-09 6.64895743649149e-08 25 41 41 Brain_Putamen_basal_ganglia ENSR00000283527 17 43578767 43579166 17q21.31 Brain_Putamen_basal_ganglia_17q21.31
ARL17A ENSG00000185829 4.85143010140767 0.0791390073264358 1.22574409263916e-06 0.122558013571252 0.233365178637044 2.52367291307492e-11 5.66446053959015e-10 25 31 31 Brain_Putamen_basal_ganglia ENSG00000185829 17 44594068 44657048 17q21.31 Brain_Putamen_basal_ganglia_17q21.31
CRHR1 ENSG00000120088 -4.65670291797058 -0.0784179483890239 3.21313575853449e-06 0.106707656283232 0.0600160685421035 0.00128274002043534 0.00766136372687538 34 39 39 Brain_Putamen_basal_ganglia ENSG00000120088 17 43861646 43913194 17q21.31 Brain_Putamen_basal_ganglia_17q21.31
KANSL1-AS1 ENSG00000214401 4.96184618211802 0.0700316656372329 6.98262839942804e-07 0.180790390043306 0.55886596711058 1.14003662352392e-31 6.25880106314633e-29 27 35 35 Brain_Putamen_basal_ganglia ENSG00000214401 17 44270942 44274089 17q21.31 Brain_Putamen_basal_ganglia_17q21.31
LRRC37A ENSG00000176681 4.93362424600023 0.0920296822114971 8.071765538857e-07 0.0964869261863881 0.547300855864176 1.01262893688377e-30 4.28531908227499e-28 27 30 30 Brain_Putamen_basal_ganglia ENSG00000176681 17 44370099 44415160 17q21.31 Brain_Putamen_basal_ganglia_17q21.31
LRRC37A2 ENSG00000238083 5.74212887628311 0.0753193968034677 9.34936213675157e-09 0.204574344369152 0.575013398372825 4.90288709047083e-33 3.68860538773089e-30 21 27 27 Brain_Putamen_basal_ganglia ENSG00000238083 17 44588877 44633016 17q21.31 Brain_Putamen_basal_ganglia_17q21.31
ENSR00000119070 ENSR00000119070 -5.50275725264463 -0.0809843373124442 3.73897072173644e-08 0.143107668467132 0.175654863816537 1.8948987146072e-06 9.5875457823403e-06 12 26 26 Brain_Cerebellum ENSR00000119070 2 73944928 73945127 2p13.1 Brain_Cerebellum_2p13.1
ENSR00000291572 ENSR00000291572 -4.84037825629713 -0.252369689913934 1.29592226732323e-06 0.0122132219251732 0.039168049456469 0.0302520798669745 0.034182208146636 15 18 18 Brain_Cerebellum ENSR00000291572 2 73846928 73847527 2p13.1 Brain_Cerebellum_2p13.1
ENSR00000291575 ENSR00000291575 -5.34598806693434 -0.125248505739711 8.9925132905167e-08 0.0583782944926323 0.15562572443865 8.25618662836709e-06 3.65177485485467e-05 21 25 25 Brain_Cerebellum ENSR00000291575 2 73857528 73858327 2p13.1 Brain_Cerebellum_2p13.1
ENSR00000291586 ENSR00000291586 -6.61175589710621 -0.153921418548125 3.79787897150843e-11 0.0569749840382341 0.0848408962138482 0.00124815958460417 0.00274860674481982 13 25 25 Brain_Cerebellum ENSR00000291586 2 73939928 73942327 2p13.1 Brain_Cerebellum_2p13.1
NAT8 ENSG00000144035 -5.45497395404664 -0.104628920156524 4.89800243363608e-08 0.0884987089670276 0.15647212840405 3.06859588940748e-09 2.25219917183749e-08 11 11 11 Brain_Cerebellum ENSG00000144035 2 73867850 73869549 2p13.1 Brain_Cerebellum_2p13.1
ENSR00000116923 ENSR00000116923 4.94532934225693 0.0242460533357611 7.60152389732831e-07 1.51201719206582 0.495861613637758 2.91225177557732e-19 3.01418058772253e-17 9 10 10 Brain_Cerebellum ENSR00000116923 2 48579541 48581738 2p16.3 Brain_Cerebellum_2p16.3
FOXN2 ENSG00000170802 5.12422982214362 0.0481262655519472 2.98756400444753e-07 0.415144017851688 0.668908426423455 1.39429831498423e-51 1.54040610157021e-48 14 15 15 Brain_Cerebellum ENSG00000170802 2 48541776 48606434 2p16.3 Brain_Cerebellum_2p16.3
ENSR00000128482 ENSR00000128482 -4.99860941447362 -0.147929199732313 5.77452371626389e-07 0.0366035152726008 0.34318105045232 4.20989178403407e-11 4.18034868379523e-10 17 77 77 Brain_Frontal_Cortex_BA9 ENSR00000128482 2 198753126 198754524 2q33.1 Brain_Frontal_Cortex_BA9_2q33.1
TYW5 ENSG00000162971 5.3155870067781 0.105491980437368 1.06314034191986e-07 0.0756256165627323 0.125049972212606 1.58265271012307e-06 1.58905034379248e-05 13 14 14 Brain_Frontal_Cortex_BA9 ENSG00000162971 2 200793636 200820459 2q33.1 Brain_Frontal_Cortex_BA9_2q33.1
ENSR00000320213 ENSR00000320213 5.26039840810966 0.158047212764745 1.43743605837011e-07 0.0323075902349683 0.401955779938247 2.25347328269849e-09 3.01229984710376e-08 37 54 54 Brain_Amygdala ENSR00000320213 6 31035178 31035577 6p21.33 Brain_Amygdala_6p21.33
ENSR00000320214 ENSR00000320214 5.26203308562868 0.16288490577719 1.42471120231766e-07 0.0304351617960584 0.436750672059178 2.65937806698179e-10 6.40296411511769e-09 37 54 54 Brain_Amygdala ENSR00000320214 6 31036378 31037177 6p21.33 Brain_Amygdala_6p21.33
AL662844.4 ENSG00000272501 5.06938271037584 0.0636699785577976 3.9910799425253e-07 0.180888644431388 0.265617683812684 4.11389169739622e-10 1.90304553091939e-08 44 56 56 Brain_Amygdala ENSG00000272501 6 31162977 31165814 6p21.33 Brain_Amygdala_6p21.33
ATAT1 ENSG00000137343 6.88925606793026 0.150346778106437 5.60849050644584e-12 0.0660200700093329 0.0476597304072454 0.0129384436128751 0.0930878313280403 19 21 21 Brain_Amygdala ENSG00000137343 6 30594619 30614600 6p21.33 Brain_Amygdala_6p21.33
BAG6 ENSG00000204463 -6.87922457031827 -0.152922593811677 6.01792290055333e-12 0.0608149071625061 0.0862050313674359 0.000732749671929622 0.00848362204721674 9 9 9 Brain_Amygdala ENSG00000204463 6 31606805 31620482 6p21.33 Brain_Amygdala_6p21.33
C4A ENSG00000244731 -8.19495808290404 -0.173892123603406 2.50680506145409e-16 0.070430553288778 0.185410129747498 3.51579980662663e-07 8.72113674254883e-06 26 31 31 Brain_Amygdala ENSG00000244731 6 31949834 31970458 6p21.33 Brain_Amygdala_6p21.33
MICB ENSG00000204516 5.57501019759956 0.124211457466693 2.47515366257435e-08 0.0593644455365776 0.041999012143516 0.0198187726868727 0.130928842784072 15 15 15 Brain_Amygdala ENSG00000204516 6 31462658 31478901 6p21.33 Brain_Amygdala_6p21.33
VARS2 ENSG00000137411 -5.50557818407731 -0.0578180502446532 3.67958611216637e-08 0.282893802967498 0.315589820838761 4.31713301728666e-12 2.77961112984485e-10 35 36 36 Brain_Amygdala ENSG00000137411 6 30881982 30894236 6p21.33 Brain_Amygdala_6p21.33
ENSR00000320213 ENSR00000320213 4.99328394172655 0.113755815652157 5.93611860106583e-07 0.0547183476265452 0.488056690145009 3.02888855871504e-17 1.09256337296507e-15 68 91 91 Brain_Cortex ENSR00000320213 6 31035178 31035577 6p21.33 Brain_Cortex_6p21.33
ENSR00000320214 ENSR00000320214 4.79909326339221 0.105788743280975 1.59385566842708e-06 0.0597641680815876 0.510501687761654 2.69266644925088e-18 1.13316379739308e-16 61 82 82 Brain_Cortex ENSR00000320214 6 31036378 31037177 6p21.33 Brain_Cortex_6p21.33
C4A ENSG00000244731 -9.18997207158201 -0.148592467713347 3.92943369614349e-20 0.121277880153586 0.190125904693315 6.36666466097636e-11 8.42269215861366e-10 43 53 53 Brain_Cortex ENSG00000244731 6 31949834 31970458 6p21.33 Brain_Cortex_6p21.33
C4B ENSG00000224389 6.47558396899656 0.156034170280371 9.4445946185681e-11 0.0564193136970605 0.0842881074307927 2.4139123939886e-05 0.000151148496008919 18 21 21 Brain_Cortex ENSG00000224389 6 31982572 32003195 6p21.33 Brain_Cortex_6p21.33
CYP21A2 ENSG00000231852 8.65682656852263 0.346508429274486 4.85079904181869e-18 0.0226625607885686 0.0911191572874634 1.08959044704778e-05 7.20956553286103e-05 28 41 41 Brain_Cortex ENSG00000231852 6 32006104 32009421 6p21.33 Brain_Cortex_6p21.33
DDAH2 ENSG00000213722 -7.32453445367522 -0.190496224048178 2.39729468808886e-13 0.0446470468183082 0.0589259293230544 0.000453271404430949 0.00228909915331567 14 18 18 Brain_Cortex ENSG00000213722 6 31694815 31698394 6p21.33 Brain_Cortex_6p21.33
FLOT1 ENSG00000137312 8.14632806423301 0.210891121063584 3.75141516424619e-16 0.0465124692462638 0.0969836768971231 5.48940104948771e-06 3.83017530854086e-05 9 9 9 Brain_Cortex ENSG00000137312 6 30695486 30710509 6p21.33 Brain_Cortex_6p21.33
HLA-C ENSG00000204525 4.93018951403203 0.0618575972335927 8.21498840472714e-07 0.193071488475812 0.448663517505062 4.7090055953763e-28 3.56915424097204e-26 18 27 27 Brain_Cortex ENSG00000204525 6 31236526 31239907 6p21.33 Brain_Cortex_6p21.33
MDC1 ENSG00000137337 -4.90640954813318 -0.218591680032081 9.27587360709643e-07 0.0154630715507272 0.0411538208566078 0.00353183781764912 0.0147681607212793 16 21 21 Brain_Cortex ENSG00000137337 6 30667584 30685224 6p21.33 Brain_Cortex_6p21.33
MICB ENSG00000204516 7.65747053135529 0.132240615501613 1.89630841052215e-14 0.0944584102957733 0.203633214982857 1.1176093485964e-11 1.6049390064146e-10 13 16 16 Brain_Cortex ENSG00000204516 6 31462658 31478901 6p21.33 Brain_Cortex_6p21.33
NRM ENSG00000137404 -5.10187632030252 -0.0933341628584074 3.36302509635378e-07 0.0915400561333729 0.0979963961592654 4.87520193678338e-06 3.44049965252999e-05 39 44 44 Brain_Cortex ENSG00000137404 6 30655824 30659197 6p21.33 Brain_Cortex_6p21.33
VARS2 ENSG00000137411 -6.30020121964099 -0.064851078663191 2.97259489772575e-10 0.310162715990054 0.4644781824486 2.41350224701857e-29 2.12905376790567e-27 33 39 39 Brain_Cortex ENSG00000137411 6 30881982 30894236 6p21.33 Brain_Cortex_6p21.33
ENSR00000320213 ENSR00000320213 7.09466368146499 0.131439113128877 1.29666426186601e-12 0.0854774595716612 0.380726381691794 1.87731144746182e-12 2.36124062058531e-11 12 27 27 Brain_Frontal_Cortex_BA9 ENSR00000320213 6 31035178 31035577 6p21.33 Brain_Frontal_Cortex_BA9_6p21.33
ENSR00000320214 ENSR00000320214 6.80517356969628 0.166405440790746 1.00927478777155e-11 0.0488059451513301 0.381485724275472 1.75960578081496e-12 2.26349289077561e-11 8 18 18 Brain_Frontal_Cortex_BA9 ENSR00000320214 6 31036378 31037177 6p21.33 Brain_Frontal_Cortex_BA9_6p21.33
BAG6 ENSG00000204463 -6.75208262157476 -0.0893215240256745 1.45737838262283e-11 0.173568410629131 0.265431359611111 2.98879404611255e-13 7.70805920619186e-12 24 32 32 Brain_Frontal_Cortex_BA9 ENSG00000204463 6 31606805 31620482 6p21.33 Brain_Frontal_Cortex_BA9_6p21.33
C4A ENSG00000244731 -10.2792903094386 -0.147227177379431 8.73685472888993e-25 0.159256055605553 0.235776687674615 9.7025914425441e-12 2.07625505494605e-10 24 32 32 Brain_Frontal_Cortex_BA9 ENSG00000244731 6 31949834 31970458 6p21.33 Brain_Frontal_Cortex_BA9_6p21.33
C4B ENSG00000224389 8.71450418571876 0.18512975054835 2.92033922789998e-18 0.0635877012322982 0.067444824051244 0.000519202270187262 0.00329760613856531 28 32 32 Brain_Frontal_Cortex_BA9 ENSG00000224389 6 31982572 32003195 6p21.33 Brain_Frontal_Cortex_BA9_6p21.33
CYP21A2 ENSG00000231852 6.19965198022019 0.175841314610877 5.6588149992052e-10 0.0398618386003022 0.0437899605116709 0.00544834936404232 0.0266341052322819 34 47 47 Brain_Frontal_Cortex_BA9 ENSG00000231852 6 32006104 32009421 6p21.33 Brain_Frontal_Cortex_BA9_6p21.33
HCG20 ENSG00000228022 -6.90209204072048 -0.100684732049231 5.12422148384994e-12 0.146164318173471 0.280185250150422 5.03502122844366e-14 1.41960382311147e-12 28 34 34 Brain_Frontal_Cortex_BA9 ENSG00000228022 6 30711567 30760027 6p21.33 Brain_Frontal_Cortex_BA9_6p21.33
HLA-C ENSG00000204525 5.02366870655611 0.0510847326026221 5.06936532734402e-07 0.287041933243983 0.508685731497025 1.69545238521155e-28 3.30597369766858e-26 32 38 38 Brain_Frontal_Cortex_BA9 ENSG00000204525 6 31236526 31239907 6p21.33 Brain_Frontal_Cortex_BA9_6p21.33
MICB ENSG00000204516 9.24616361409852 0.157830597387159 2.32694847510186e-20 0.0966990234540072 0.193702458940297 1.09846009741279e-09 1.75618938485981e-08 23 28 28 Brain_Frontal_Cortex_BA9 ENSG00000204516 6 31462658 31478901 6p21.33 Brain_Frontal_Cortex_BA9_6p21.33
MSH5 ENSG00000204410 -5.21805901095632 -0.0828151719378376 1.80807864343573e-07 0.118739708827375 0.0886718758039236 6.27615985283011e-05 0.000479830704175329 55 74 74 Brain_Frontal_Cortex_BA9 ENSG00000204410 6 31707454 31730455 6p21.33 Brain_Frontal_Cortex_BA9_6p21.33
POU5F1 ENSG00000204531 7.00381281278152 0.195982342588319 2.49088865524255e-12 0.0358443436889072 0.0619863496748917 0.000892329676626545 0.00538702730704174 16 22 22 Brain_Frontal_Cortex_BA9 ENSG00000204531 6 31132114 31148508 6p21.33 Brain_Frontal_Cortex_BA9_6p21.33
PPP1R18 ENSG00000146112 -6.23198939225007 -0.356311049907268 4.60548669670927e-10 0.0087659179396296 0.0226060464222807 0.0470294740803047 0.17091498819221 9 10 10 Brain_Frontal_Cortex_BA9 ENSG00000146112 6 30644166 30655672 6p21.33 Brain_Frontal_Cortex_BA9_6p21.33
SAPCD1 ENSG00000228727 -4.7304923573569 -0.206120685294639 2.23975959248345e-06 0.0142528694610393 0.0323387993878693 0.0172505231751166 0.0730166498270675 5 5 5 Brain_Frontal_Cortex_BA9 ENSG00000228727 6 31730773 31732628 6p21.33 Brain_Frontal_Cortex_BA9_6p21.33
VARS2 ENSG00000137411 -6.67226660816364 -0.0767962564082605 2.51882437007902e-11 0.2390957726077 0.362567404086628 1.20753395879313e-18 6.31428283615536e-17 18 21 21 Brain_Frontal_Cortex_BA9 ENSG00000137411 6 30881982 30894236 6p21.33 Brain_Frontal_Cortex_BA9_6p21.33
ENSR00000320173 ENSR00000320173 -4.81695439684216 -0.190217939935253 1.45765985759448e-06 0.0188599221420134 0.0973070887701532 0.0143915459443617 0.0203572722546313 14 32 32 Brain_Substantia_nigra ENSR00000320173 6 30244578 30245177 6p22.1 Brain_Substantia_nigra_6p22.1
AL645929.2 ENSG00000281831 6.37307482366233 0.0838510648281106 1.85275434368917e-10 0.182204051691731 0.149483803859103 2.14677203874305e-05 0.000432469331883257 39 48 48 Brain_Substantia_nigra ENSG00000281831 6 29839672 29841560 6p22.1 Brain_Substantia_nigra_6p22.1
HIST1H2BN ENSG00000233822 -8.42593996781024 -0.118529303247379 3.57865635621906e-17 0.156321901862196 0.0637620569526259 0.00671933844389078 0.0572188008060787 40 45 45 Brain_Substantia_nigra ENSG00000233822 6 27805538 27833576 6p22.1 Brain_Substantia_nigra_6p22.1
HLA-G ENSG00000204632 -5.27845711073341 -0.0859537126898961 1.30276149427465e-07 0.118732559371678 0.148527552738515 2.29284244868371e-05 0.000456524482902644 21 23 23 Brain_Substantia_nigra ENSG00000204632 6 29794744 29798902 6p22.1 Brain_Substantia_nigra_6p22.1
